Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2020-01-01,2168.0,2183.89990234375,2154.0,2167.60009765625,1907.1240234375,1354908.0,TCS.NS
2020-01-02,2179.949951171875,2179.949951171875,2149.199951171875,2157.64990234375,1898.36962890625,2380752.0,TCS.NS
2020-01-03,2164.0,2223.0,2164.0,2200.64990234375,1936.2025146484375,4655761.0,TCS.NS
2020-01-06,2205.0,2225.949951171875,2187.89990234375,2200.449951171875,1936.02734375,3023209.0,TCS.NS
2020-01-07,2200.5,2214.64990234375,2183.800048828125,2205.85009765625,1940.7777099609375,2429317.0,TCS.NS
2020-01-08,2205.0,2260.0,2202.050048828125,2255.25,1984.2418212890625,5197454.0,TCS.NS
2020-01-09,2248.75,2251.949951171875,2210.0,2214.35009765625,1948.25634765625,3734173.0,TCS.NS
2020-01-10,2228.0,2234.0,2208.0,2213.550048828125,1947.55224609375,1915807.0,TCS.NS
2020-01-13,2217.85009765625,2218.949951171875,2184.699951171875,2190.35009765625,1927.140869140625,2843893.0,TCS.NS
2020-01-14,2195.0,2229.800048828125,2195.0,2206.89990234375,1941.70166015625,2948452.0,TCS.NS
2020-01-15,2213.0,2231.0,2194.199951171875,2226.89990234375,1959.2982177734375,2620681.0,TCS.NS
2020-01-16,2226.949951171875,2249.0,2215.0,2238.800048828125,1969.7684326171875,3117214.0,TCS.NS
2020-01-17,2240.75,2253.550048828125,2213.0,2219.10009765625,1952.4359130859375,3281059.0,TCS.NS
2020-01-20,2194.89990234375,2242.199951171875,2156.199951171875,2170.35009765625,1909.5438232421875,5817599.0,TCS.NS
2020-01-21,2169.949951171875,2186.550048828125,2158.050048828125,2171.050048828125,1910.15966796875,1902980.0,TCS.NS
2020-01-22,2181.0,2210.0,2173.699951171875,2206.89990234375,1941.70166015625,1773686.0,TCS.NS
2020-01-23,2209.800048828125,2217.75,2183.699951171875,2190.949951171875,1932.0457763671875,2069866.0,TCS.NS
2020-01-24,2190.949951171875,2190.949951171875,2170.0,2183.39990234375,1925.387939453125,1319430.0,TCS.NS
2020-01-27,2189.699951171875,2193.449951171875,2165.0,2169.25,1912.9097900390625,1549101.0,TCS.NS
2020-01-28,2174.0,2187.800048828125,2152.0,2183.75,1925.696533203125,1743024.0,TCS.NS
2020-01-29,2185.0,2186.949951171875,2150.0,2154.60009765625,1899.990966796875,2306761.0,TCS.NS
2020-01-30,2160.0,2165.0,2125.0,2137.85009765625,1885.220703125,2098567.0,TCS.NS
2020-01-31,2139.39990234375,2144.35009765625,2071.60009765625,2079.050048828125,1833.3687744140625,3287223.0,TCS.NS
2020-02-03,2152.0,2194.699951171875,2093.199951171875,2102.5,1854.0477294921875,4728073.0,TCS.NS
2020-02-04,2129.0,2136.699951171875,2086.60009765625,2107.75,1858.6776123046875,3509339.0,TCS.NS
2020-02-05,2115.0,2156.699951171875,2104.300048828125,2146.550048828125,1892.8927001953125,2439322.0,TCS.NS
2020-02-06,2145.0,2174.199951171875,2115.5,2128.35009765625,1876.84326171875,2640065.0,TCS.NS
2020-02-07,2139.0,2151.0,2119.0,2136.550048828125,1884.0743408203125,2083442.0,TCS.NS
2020-02-10,2140.89990234375,2167.0,2119.0,2161.949951171875,1906.472412109375,2383032.0,TCS.NS
2020-02-11,2163.0,2174.800048828125,2147.60009765625,2153.39990234375,1898.9326171875,1335820.0,TCS.NS
2020-02-12,2151.10009765625,2185.0,2150.0,2170.75,1914.2325439453125,1620407.0,TCS.NS
2020-02-13,2172.949951171875,2197.0,2171.0,2191.949951171875,1932.9273681640625,1645948.0,TCS.NS
2020-02-14,2188.0,2212.0,2171.0,2184.199951171875,1926.093505859375,1500115.0,TCS.NS
2020-02-17,2196.949951171875,2217.0,2190.199951171875,2203.25,1942.892578125,1774724.0,TCS.NS
2020-02-18,2199.949951171875,2221.0,2186.050048828125,2215.75,1953.9149169921875,2486223.0,TCS.NS
2020-02-19,2215.75,2230.0,2190.5,2196.35009765625,1936.8074951171875,1760463.0,TCS.NS
2020-02-20,2204.5,2214.39990234375,2151.25,2156.800048828125,1901.930908203125,2317278.0,TCS.NS
2020-02-24,2156.0,2178.949951171875,2106.699951171875,2115.35009765625,1865.3795166015625,3092877.0,TCS.NS
2020-02-25,2115.5,2176.64990234375,2111.0,2156.14990234375,1901.3580322265625,2674567.0,TCS.NS
2020-02-26,2154.0,2163.89990234375,2112.949951171875,2123.60009765625,1872.654541015625,2686842.0,TCS.NS
2020-02-27,2119.949951171875,2119.949951171875,2086.199951171875,2105.5,1856.6932373046875,2349001.0,TCS.NS
2020-02-28,2068.0,2069.5,1990.0,2000.1500244140625,1763.79248046875,4298076.0,TCS.NS
2020-03-02,2035.0,2053.949951171875,1985.699951171875,2001.300048828125,1764.806640625,2667076.0,TCS.NS
2020-03-03,2020.0,2060.0,2012.0,2036.199951171875,1795.5826416015625,2757585.0,TCS.NS
2020-03-04,2056.0,2094.449951171875,2025.0,2083.199951171875,1837.0286865234375,3237002.0,TCS.NS
2020-03-05,2085.699951171875,2147.75,2084.050048828125,2125.050048828125,1873.9329833984375,3937056.0,TCS.NS
2020-03-06,2098.0,2123.64990234375,2071.60009765625,2116.449951171875,1866.3492431640625,2595027.0,TCS.NS
2020-03-09,2075.0,2079.89990234375,1935.0,1972.3499755859375,1739.277587890625,4940975.0,TCS.NS
2020-03-11,1933.0,1987.300048828125,1920.0,1953.699951171875,1722.8314208984375,6796449.0,TCS.NS
2020-03-12,1904.0,1908.4000244140625,1758.3499755859375,1769.8499755859375,1560.7071533203125,8728786.0,TCS.NS
2020-03-13,1687.9000244140625,1820.0,1506.050048828125,1806.300048828125,1592.8499755859375,8029720.0,TCS.NS
2020-03-16,1755.0,1842.25,1675.8499755859375,1696.4000244140625,1495.9366455078125,7844271.0,TCS.NS
2020-03-17,1730.0,1731.0,1623.1500244140625,1658.0,1462.0743408203125,5713248.0,TCS.NS
2020-03-18,1676.800048828125,1713.550048828125,1627.75,1654.4000244140625,1458.8997802734375,7258778.0,TCS.NS
2020-03-19,1559.699951171875,1685.449951171875,1546.75,1636.3499755859375,1453.52587890625,5135111.0,TCS.NS
2020-03-20,1630.0,1869.0,1627.0,1797.449951171875,1596.626708984375,8547498.0,TCS.NS
2020-03-23,1620.0,1750.0,1617.75,1669.699951171875,1483.149658203125,7003490.0,TCS.NS
2020-03-24,1653.050048828125,1770.0,1632.8499755859375,1703.1500244140625,1512.8624267578125,6350865.0,TCS.NS
2020-03-25,1700.0,1810.0,1680.0,1750.300048828125,1554.7442626953125,2765520.0,TCS.NS
2020-03-26,1831.5999755859375,1832.050048828125,1722.550048828125,1790.949951171875,1590.8525390625,4556067.0,TCS.NS
2020-03-27,1820.0,1850.0,1750.4000244140625,1824.5,1620.6544189453125,4331250.0,TCS.NS
2020-03-30,1766.0,1905.0,1763.550048828125,1778.5,1579.7939453125,8513547.0,TCS.NS
2020-03-31,1837.4000244140625,1855.0,1780.0,1826.0999755859375,1622.075439453125,3927593.0,TCS.NS
2020-04-01,1825.9000244140625,1834.75,1702.0,1708.75,1517.8365478515625,4941878.0,TCS.NS
2020-04-03,1740.0,1740.0,1650.0,1654.199951171875,1469.3814697265625,5735369.0,TCS.NS
2020-04-07,1710.0,1785.8499755859375,1705.0,1775.199951171875,1576.862548828125,5427577.0,TCS.NS
2020-04-08,1760.0,1806.0,1701.0,1705.449951171875,1514.9051513671875,6285615.0,TCS.NS
2020-04-09,1750.449951171875,1778.800048828125,1731.199951171875,1766.1500244140625,1568.8236083984375,5307397.0,TCS.NS
2020-04-13,1761.0,1787.0,1746.0,1759.25,1562.6942138671875,2990438.0,TCS.NS
2020-04-15,1785.0,1812.0,1727.800048828125,1735.1500244140625,1541.287109375,4761399.0,TCS.NS
2020-04-16,1709.949951171875,1764.9000244140625,1675.050048828125,1716.050048828125,1524.321044921875,6245533.0,TCS.NS
2020-04-17,1800.0,1851.949951171875,1753.0,1806.199951171875,1604.39892578125,9895823.0,TCS.NS
2020-04-20,1830.0,1830.0,1802.5,1818.6500244140625,1615.4581298828125,3244282.0,TCS.NS
2020-04-21,1765.0,1794.5999755859375,1727.699951171875,1737.6500244140625,1543.5078125,5122541.0,TCS.NS
2020-04-22,1737.6500244140625,1790.0,1719.1500244140625,1769.5,1571.7996826171875,3829836.0,TCS.NS
